#截止2023-09-27，福建省福州市IP地址共计1186条记录，IP地址总数2582784。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
202.40.155.0	202.40.156.255	512	电信
202.40.158.0	202.40.159.255	512	电信
202.40.162.0	202.40.162.255	256	电信
202.41.8.0	202.41.9.255	512	电信
202.41.11.0	202.41.13.255	768	电信
202.41.128.0	202.41.128.255	256	电信
202.41.130.0	202.41.131.255	512	电信
202.41.192.0	202.41.192.255	256	电信
202.44.67.0	202.44.67.255	256	电信
202.44.74.0	202.44.74.255	256	电信
202.44.129.0	202.44.129.255	256	电信
202.44.132.0	202.44.133.255	512	电信
202.44.146.0	202.44.147.255	512	电信
202.45.0.0	202.45.2.255	768	电信
202.45.15.0	202.45.15.255	256	电信
202.46.16.0	202.46.18.255	768	电信
202.46.20.0	202.46.21.255	512	电信
202.46.128.0	202.46.128.255	256	电信
202.47.82.0	202.47.83.255	512	电信
202.47.126.0	202.47.126.255	256	电信
202.47.128.0	202.47.128.255	256	电信
202.47.130.0	202.47.131.255	512	电信
202.58.0.0	202.58.0.255	256	电信
202.59.0.0	202.59.0.255	256	电信
202.59.236.0	202.59.236.255	256	电信
202.62.248.0	202.62.252.255	1280	电信
202.62.255.0	202.62.255.255	256	电信
202.63.81.0	202.63.83.255	768	电信
202.65.8.0	202.65.9.255	512	电信
202.67.0.0	202.67.2.255	768	电信
202.73.128.0	202.73.131.255	1024	电信
202.74.254.0	202.74.255.255	512	电信
202.75.252.0	202.75.255.255	1024	电信
202.76.252.0	202.76.255.255	1024	电信
202.77.92.0	202.77.95.255	1024	电信
202.79.248.0	202.79.251.255	1024	电信
202.80.196.0	202.80.199.255	1024	电信
202.81.0.0	202.81.3.255	1024	电信
202.83.252.0	202.83.255.255	1024	电信
202.84.4.0	202.84.7.255	1024	电信
202.86.249.0	202.86.249.255	256	电信
202.90.196.0	202.90.196.255	256	电信
202.91.0.0	202.91.3.255	1024	电信
202.92.252.0	202.92.255.255	1024	电信
202.94.92.0	202.94.95.255	1024	电信
202.101.96.0	202.101.102.255	1792	电信
202.101.116.0	202.101.118.255	768	电信
202.101.127.0	202.101.133.255	1792	电信
202.101.138.0	202.101.139.255	512	电信
202.101.143.0	202.101.143.255	256	电信
202.101.149.0	202.101.149.255	256	电信
202.109.192.0	202.109.207.255	4096	电信
202.122.132.0	202.122.132.255	256	电信
202.124.24.0	202.124.27.255	1024	电信
202.127.194.0	202.127.199.255	1536	电信
202.127.212.0	202.127.215.255	1024	电信
202.134.58.0	202.134.58.255	256	电信
202.137.231.0	202.137.231.255	256	电信
202.143.4.0	202.143.7.255	1024	电信
202.146.188.0	202.146.191.255	1024	电信
202.146.196.0	202.146.199.255	1024	电信
202.150.56.0	202.150.59.255	1024	电信
202.151.0.0	202.151.3.255	1024	电信
202.153.0.0	202.153.3.255	1024	电信
202.162.67.0	202.162.67.255	256	电信
202.162.75.0	202.162.75.255	256	电信
202.165.239.0	202.165.241.255	768	电信
202.165.243.0	202.165.243.255	256	电信
202.165.245.0	202.165.245.255	256	电信
202.165.251.0	202.165.255.255	1280	电信
202.171.235.0	202.171.235.255	256	电信
202.172.0.0	202.172.3.255	1024	电信
202.173.0.0	202.173.3.255	1024	电信
202.191.0.0	202.191.0.255	256	电信
202.191.68.0	202.191.71.255	1024	电信
203.0.4.0	203.0.7.255	1024	电信
203.0.10.0	203.0.11.255	512	电信
203.0.18.0	203.0.18.255	256	电信
203.0.24.0	203.0.24.255	256	电信
203.0.42.0	203.0.43.255	512	电信
203.0.45.0	203.0.47.255	768	电信
203.0.81.0	203.0.83.255	768	电信
203.0.90.0	203.0.91.255	512	电信
203.0.96.0	203.0.97.255	512	电信
203.0.114.0	203.0.115.255	512	电信
203.0.122.0	203.0.122.255	256	电信
203.0.128.0	203.0.128.255	256	电信
203.0.130.0	203.0.135.255	1536	电信
203.0.137.0	203.0.137.255	256	电信
203.0.142.0	203.0.142.255	256	电信
203.0.144.0	203.0.144.255	256	电信
203.0.146.0	203.0.146.255	256	电信
203.0.148.0	203.0.148.255	256	电信
203.0.150.0	203.0.152.255	768	电信
203.0.177.0	203.0.177.255	256	电信
203.0.224.0	203.0.224.255	256	电信
203.1.4.0	203.1.7.255	1024	电信
203.1.18.0	203.1.18.255	256	电信
203.1.26.0	203.1.27.255	512	电信
203.1.65.0	203.1.67.255	768	电信
